,0
607,8
608,7
609,8
610,4
611,5
612,6
613,9
614,9
615,9
616,2
617,1
618,1
619,2
620,0
621,7
622,2
623,0
624,1
625,3
626,2
627,1
628,1
629,7
630,4
631,9
632,9
633,8
634,5
635,7
636,6
637,8
638,5
639,9
640,1
641,7
642,8
643,6
644,3
645,5
646,0
647,6
648,8
649,8
650,5
651,4
652,8
653,2
654,7
655,0
656,7
657,3
658,9
659,5
660,5
661,4
662,7
663,4
664,9
665,1
666,9
667,3
668,6
669,4
670,5
671,5
672,6
673,2
674,7
675,1
676,0
677,3
678,0
679,2
680,1
681,0
682,1
683,4
684,1
685,5
686,8
687,0
688,2
689,9
690,6
691,9
692,6
693,6
694,2
695,5
696,0
697,6
698,9
699,1
700,6
701,8
702,3
703,0
704,9
705,6
706,5
707,4
708,8
709,4
710,9
711,5
712,2
713,2
714,0
715,6
716,0
717,1
718,8
719,9
720,0
721,2
722,3
723,6
724,8
725,9
726,5
727,8
728,3
729,2
730,9
731,2
732,7
733,9
734,0
735,7
736,2
737,1
738,1
739,7
740,0
741,6
742,5
743,8
744,2
745,0
746,4
747,4
748,5
749,9
750,5
751,9
752,7
753,7
754,4
755,7
756,1
757,9
758,0
759,0
760,4
761,5
762,8
763,4
764,0
765,2
766,9
767,2
768,7
769,2
770,1
771,1
772,2
773,2
774,3
775,5
776,1
777,6
778,4
779,8
780,0
781,7
782,0
783,0
784,6
785,6
786,9
787,0
788,6
789,3
790,7
791,1
792,0
793,3
794,6
795,5
796,8
797,3
798,5
799,0
800,7
801,9
802,1
803,2
804,6
805,3
806,2
807,0
808,2
809,7
810,1
811,6
812,4
813,5
814,8
815,4
816,9
817,7
818,7
819,1
820,8
821,4
822,6
823,3
824,6
825,8
826,8
827,5
828,2
829,9
830,3
831,3
832,1
833,1
834,1
835,1
836,0
837,1
838,0
839,8
840,3
841,2
842,3
843,7
844,9
845,6
846,0
847,5
848,4
849,0
850,9
851,3
852,5
853,2
854,4
855,3
856,9
857,9
858,3
859,5
860,7
861,3
862,0
863,7
864,9
865,4
866,0
867,0
868,7
869,8
870,9
871,9
872,6
873,0
874,5
875,7
876,3
877,7
878,0
879,5
880,4
881,5
882,9
883,4
884,9
885,8
886,3
887,0
888,3
889,2
890,9
891,5
892,0
893,8
894,3
895,4
896,8
897,5
898,7
899,4
900,0
901,2
902,1
903,4
904,2
905,8
906,0
907,7
908,8
909,1
910,6
911,8
912,3
913,2
914,9
915,8
916,5
917,0
918,2
919,8
920,9
921,4
922,7
923,5
924,0
925,1
926,9
927,7
928,1
929,0
930,7
931,1
932,0
933,5
934,8
935,4
936,4
937,8
938,8
939,2
940,9
941,1
942,7
943,4
944,4
945,9
946,2
947,6
948,8
949,4
950,9
951,3
952,0
953,4
954,4
955,4
956,7
957,8
958,0
959,6
960,8
961,1
962,0
963,0
964,8
965,4
966,9
967,4
968,8
969,1
970,0
971,7
972,9
973,1
974,4
975,4
976,5
977,3
978,4
979,4
980,2
981,9
982,4
983,7
984,6
985,6
986,8
987,2
988,3
989,6
990,7
991,4
992,9
993,7
994,8
995,5
996,2
997,4
998,5
999,4
1000,7
1001,3
1002,6
1003,9
1004,4
1005,8
1006,9
1007,8
1008,2
1009,1
1010,4
1011,9
1012,2
1013,0
1014,2
1015,7
1016,8
1017,9
1018,8
1019,6
1020,8
1021,0
1022,0
1023,2
1024,4
1025,4
1026,8
1027,4
1028,1
1029,6
1030,7
1031,1
1032,4
1033,5
1034,5
1035,4
1036,6
1037,7
1038,4
1039,4
1040,1
1041,7
1042,7
1043,3
1044,2
1045,0
1046,9
1047,6
1048,6
1049,2
1050,2
1051,6
1052,0
1053,8
1054,6
1055,1
1056,4
1057,9
1058,9
1059,2
1060,8
1061,2
1062,4
1063,0
1064,0
1065,0
1066,0
1067,0
1068,7
1069,8
1070,6
1071,2
1072,0
1073,5
1074,0
1075,6
1076,1
1077,2
1078,2
1079,9
1080,6
1081,2
1082,4
1083,4
1084,8
1085,9
1086,8
1087,2
1088,9
1089,5
1090,3
1091,9
1092,0
1093,7
1094,2
1095,7
1096,4
1097,1
1098,1
1099,3
1100,2
1101,5
1102,0
1103,0
1104,2
1105,0
1106,2
1107,4
1108,6
1109,4
1110,5
1111,9
1112,0
1113,4
1114,8
1115,6
1116,1
1117,4
1118,0
1119,3
1120,9
1121,6
1122,2
1123,4
1124,5
1125,2
1126,7
1127,0
1128,0
1129,4
1130,2
1131,2
1132,0
1133,8
1134,5
1135,9
1136,0
1137,2
1138,7
1139,0
1140,8
1141,4
1142,8
1143,9
1144,0
1145,1
1146,1
1147,6
1148,3
1149,7
1150,8
1151,7
1152,9
1153,2
1154,9
1155,9
1156,1
1157,6
1158,2
1159,7
1160,6
1161,6
1162,9
1163,4
1164,3
1165,7
1166,8
1167,7
1168,8
1169,4
1170,8
1171,6
1172,0
1173,9
1174,3
1175,7
1176,6
1177,7
1178,0
1179,1
1180,8
1181,0
1182,6
1183,2
1184,6
1185,7
1186,8
1187,4
1188,9
1189,6
1190,5
1191,4
1192,2
1193,1
1194,5
1195,5
1196,2
1197,6
1198,6
1199,7
1200,6
1201,6
1202,7
1203,6
1204,8
1205,6
1206,1
1207,6
1208,7
1209,0
1210,5
1211,9
1212,1
1213,3
1214,5
1215,7
1216,7
1217,9
1218,2
1219,1
1220,1
1221,2
1222,0
1223,9
1224,1
1225,8
1226,2
1227,8
1228,9
1229,4
1230,4
1231,6
1232,6
1233,9
1234,1
1235,2
1236,8
1237,7
1238,8
1239,8
1240,4
1241,2
1242,7
1243,8
1244,0
1245,8
1246,8
1247,1
1248,8
1249,8
1250,7
1251,6
1252,3
1253,0
1254,6
1255,3
1256,6
1257,0
1258,9
1259,9
1260,8
1261,9
1262,3
1263,3
1264,4
1265,5
1266,5
1267,0
1268,9
1269,3
1270,9
1271,2
1272,2
1273,3
1274,4
1275,2
1276,8
1277,2
1278,4
1279,5
1280,4
1281,1
1282,0
1283,5
1284,2
1285,9
1286,1
1287,5
1288,8
1289,1
1290,2
1291,2
1292,6
1293,9
1294,6
1295,3
1296,5
1297,6
1298,6
1299,8
1300,2
1301,9
1302,8
1303,7
1304,0
1305,4
1306,3
1307,0
1308,9
1309,1
1310,3
1311,9
1312,9
1313,9
1314,7
1315,2
1316,3
1317,3
1318,5
1319,0
1320,5
1321,6
1322,4
1323,6
1324,9
1325,7
1326,1
1327,5
1328,5
1329,8
1330,7
1331,3
1332,5
1333,1
1334,4
1335,6
1336,6
1337,0
1338,2
1339,0
1340,9
1341,6
1342,1
1343,4
1344,7
1345,8
1346,1
1347,6
1348,7
1349,5
1350,9
1351,4
1352,9
1353,2
1354,0
1355,1
1356,3
1357,3
1358,6
1359,7
1360,3
1361,0
1362,4
1363,6
1364,1
1365,5
1366,9
1367,2
1368,9
1369,3
1370,3
1371,7
1372,1
1373,3
1374,5
1375,0
1376,8
1377,0
1378,2
1379,5
1380,3
1381,7
1382,2
1383,1
1384,2
1385,3
1386,0
1387,0
1388,2
1389,1
1390,3
1391,2
1392,6
1393,7
1394,9
1395,4
1396,5
1397,5
1398,4
1399,9
1400,4
1401,9
1402,2
1403,1
1404,7
1405,0
1406,4
1407,7
1408,6
1409,7
1410,5
1411,8
1412,6
1413,2
1414,0
1415,1
1416,9
1417,4
1418,7
1419,7
1420,1
1421,4
1422,1
1423,8
1424,0
1425,1
1426,0
1427,9
1428,4
1429,8
1430,7
1431,1
1432,2
1433,3
1434,0
1435,8
1436,0
1437,1
1438,1
1439,2
1440,7
1441,0
1442,2
1443,3
1444,1
1445,5
1446,9
1447,5
1448,2
1449,9
1450,8
1451,5
1452,0
1453,7
1454,7
1455,9
1456,9
1457,7
1458,5
1459,9
1460,5
1461,7
1462,1
1463,8
1464,2
1465,6
1466,1
1467,4
1468,8
1469,0
1470,8
1471,0
1472,0
1473,6
1474,1
1475,2
1476,5
1477,5
1478,7
1479,8
1480,4
1481,7
1482,3
1483,8
1484,9
1485,3
1486,7
1487,3
1488,2
1489,5
1490,4
1491,9
1492,8
1493,9
1494,7
1495,0
1496,6
1497,3
1498,3
1499,5
1500,0
1501,1
1502,1
1503,8
1504,7
1505,0
1506,5
1507,1
1508,9
1509,4
1510,8
1511,3
1512,3
1513,0
1514,3
1515,2
1516,1
1517,3
1518,1
1519,7
1520,8
1521,5
1522,0
1523,6
1524,7
1525,1
1526,8
1527,6
1528,0
1529,7
1530,2
1531,7
1532,3
1533,1
1534,0
1535,5
1536,3
1537,6
1538,2
1539,0
1540,6
1541,2
1542,7
1543,2
1544,6
1545,2
1546,3
1547,2
1548,4
1549,4
1550,5
1551,7
1552,8
1553,2
1554,1
1555,7
1556,0
1557,4
1558,3
1559,9
1560,5
1561,0
1562,7
1563,1
1564,2
1565,6
1566,9
1567,8
1568,3
1569,5
1570,5
1571,6
1572,9
1573,8
1574,6
1575,8
1576,0
1577,2
1578,3
1579,2
1580,2
1581,1
1582,8
1583,6
1584,9
1585,0
1586,4
1587,5
1588,6
1589,2
1590,1
1591,2
1592,7
1593,1
1594,6
1595,9
1596,2
1597,9
1598,8
1599,0
1600,8
1601,9
1602,7
1603,6
1604,2
1605,6
1606,4
1607,2
1608,6
1609,0
1610,2
1611,4
1612,9
1613,1
1614,0
1615,9
1616,7
1617,2
1618,2
1619,2
1620,0
1621,4
1622,0
1623,5
1624,9
1625,9
1626,7
1627,1
1628,0
1629,6
1630,4
1631,9
1632,5
1633,3
1634,1
1635,5
1636,7
1637,4
1638,3
1639,0
1640,2
1641,1
1642,7
1643,7
1644,1
1645,6
1646,6
1647,2
1648,8
1649,9
1650,5
1651,7
1652,6
1653,5
1654,4
1655,1
1656,3
1657,6
1658,1
1659,0
1660,9
1661,8
1662,8
1663,0
1664,9
1665,9
1666,7
1667,8
1668,6
1669,9
1670,1
1671,0
1672,2
1673,4
1674,2
1675,6
1676,3
1677,1
1678,1
1679,0
1680,0
1681,2
1682,5
1683,0
1684,9
1685,6
1686,0
1687,2
1688,5
1689,0
1690,9
1691,3
1692,4
1693,2
1694,7
1695,4
1696,9
1697,1
1698,7
1699,3
1700,0
1701,9
1702,8
1703,9
1704,0
1705,7
1706,3
1707,2
1708,2
1709,4
1710,0
1711,7
1712,3
1713,9
1714,0
1715,1
1716,7
1717,3
1718,7
1719,4
1720,8
1721,2
1722,4
1723,0
1724,8
1725,2
1726,5
1727,5
1728,0
1729,1
1730,0
1731,8
1732,1
1733,0
1734,1
1735,9
1736,1
1737,4
1738,4
1739,0
1740,4
1741,4
1742,2
1743,3
1744,2
1745,9
1746,3
1747,6
1748,3
1749,9
1750,8
1751,6
1752,8
1753,7
1754,6
1755,2
1756,0
1757,7
1758,8
1759,7
1760,3
1761,9
1762,5
1763,0
1764,8
1765,4
1766,3
1767,0
1768,2
1769,3
1770,3
1771,3
1772,3
1773,2
1774,9
1775,9
1776,7
1777,3
1778,8
1779,8
1780,3
1781,5
1782,1
1783,0
1784,2
1785,3
1786,9
1787,0
1788,1
1789,4
1790,7
1791,8
1792,3
1793,5
1794,0
1795,5
1796,5
1797,4
1798,6
1799,1
1800,5
1801,2
1802,1
1803,1
1804,0
1805,1
1806,9
1807,3
1808,5
1809,3
1810,1
1811,8
1812,4
1813,1
1814,6
1815,1
1816,1
1817,1
1818,5
1819,6
1820,6
1821,3
1822,2
1823,7
1824,3
1825,0
1826,4
1827,3
1828,3
1829,8
1830,6
1831,5
1832,5
1833,5
1834,1
1835,6
1836,7
1837,9
1838,6
1839,3
1840,4
1841,9
1842,6
1843,0
1844,3
1845,6
1846,4
1847,1
1848,6
1849,8
1850,2
1851,1
1852,8
1853,8
1854,4
1855,5
1856,1
1857,8
1858,0
1859,5
1860,6
1861,0
1862,7
1863,6
1864,1
1865,2
1866,1
1867,8
1868,0
1869,7
1870,2
1871,0
1872,8
1873,0
1874,0
1875,2
1876,9
1877,0
1878,2
1879,7
1880,5
1881,2
1882,5
1883,5
1884,4
1885,8
1886,7
1887,1
1888,7
1889,1
1890,9
1891,3
1892,1
1893,1
1894,0
1895,9
1896,9
1897,9
1898,4
1899,2
1900,8
1901,8
1902,6
1903,2
1904,4
1905,0
1906,0
1907,5
1908,8
1909,5
1910,8
1911,4
1912,5
1913,7
1914,4
1915,4
1916,2
1917,0
1918,6
1919,0
1920,7
1921,3
1922,5
1923,2
1924,7
1925,6
1926,4
1927,4
1928,6
1929,7
1930,6
1931,7
1932,0
1933,8
1934,5
1935,8
1936,3
1937,5
1938,1
1939,2
1940,4
1941,6
1942,4
1943,5
1944,1
1945,5
1946,9
1947,7
1948,4
1949,3
1950,3
1951,8
1952,8
1953,4
1954,5
1955,3
1956,6
1957,2
1958,6
1959,7
1960,7
1961,6
1962,9
1963,5
1964,1
1965,6
1966,3
1967,9
1968,5
1969,5
1970,3
1971,7
1972,5
1973,2
1974,9
1975,6
1976,6
1977,5
1978,5
1979,2
1980,9
1981,5
1982,3
1983,6
1984,5
1985,6
1986,1
1987,9
1988,8
1989,8
1990,4
1991,3
1992,8
1993,0
1994,2
1995,3
1996,8
1997,3
1998,6
1999,8
2000,3
2001,1
2002,5
2003,3
2004,6
2005,7
2006,1
2007,0
2008,5
2009,8
2010,5
2011,8
2012,2
2013,0
2014,4
2015,4
2016,5
2017,3
2018,6
2019,8
2020,2
2021,6
2022,5
2023,2
2024,7
2025,7
2026,2
2027,4
2028,6
2029,1
2030,0
2031,5
2032,0
2033,3
2034,2
2035,9
2036,5
2037,1
2038,4
2039,1
2040,3
2041,6
2042,3
2043,4
2044,9
2045,6
2046,5
2047,8
2048,5
2049,1
2050,5
2051,4
2052,2
2053,6
2054,5
2055,8
2056,5
2057,2
2058,3
2059,7
2060,0
2061,7
2062,0
2063,0
2064,2
2065,7
2066,6
2067,7
2068,1
2069,1
2070,6
2071,1
2072,1
2073,9
2074,0
2075,4
2076,7
2077,1
2078,6
2079,1
2080,2
2081,2
2082,6
2083,5
2084,4
2085,9
2086,0
2087,1
2088,6
2089,2
2090,8
2091,3
2092,9
2093,2
2094,4
2095,2
2096,9
2097,6
2098,9
2099,1
2100,5
2101,1
2102,4
2103,2
2104,7
2105,8
2106,4
2107,6
2108,7
2109,2
2110,2
2111,2
2112,8
2113,9
2114,7
2115,2
2116,4
2117,0
2118,0
2119,7
2120,8
2121,9
2122,4
2123,7
2124,0
2125,7
2126,2
2127,6
2128,1
2129,0
2130,1
2131,7
2132,2
2133,3
2134,3
2135,9
2136,6
2137,5
2138,5
2139,6
2140,8
2141,1
2142,7
2143,3
2144,4
2145,4
2146,6
2147,4
2148,5
2149,9
2150,2
2151,6
2152,2
2153,0
2154,1
2155,3
2156,9
2157,6
2158,4
2159,0
2160,3
2161,6
2162,4
2163,1
2164,3
2165,9
2166,6
2167,7
2168,1
2169,4
2170,9
2171,4
2172,7
2173,0
2174,5
2175,3
2176,1
2177,8
2178,7
2179,1
2180,4
2181,0
2182,3
2183,9
2184,5
2185,6
2186,2
2187,0
2188,4
2189,1
2190,4
2191,6
2192,2
2193,0
2194,2
2195,5
2196,2
2197,8
2198,4
2199,6
2200,1
2201,1
2202,9
2203,5
2204,9
2205,5
2206,5
2207,3
2208,9
2209,3
2210,2
2211,2
2212,4
2213,7
2214,7
2215,1
2216,4
2217,7
2218,2
2219,3
2220,6
2221,5
2222,4
2223,0
2224,2
2225,7
2226,8
2227,7
2228,0
2229,2
2230,9
2231,0
2232,0
2233,4
2234,2
2235,5
2236,4
2237,5
2238,4
2239,1
2240,7
2241,4
2242,0
2243,1
2244,5
2245,8
2246,0
2247,0
2248,8
2249,4
2250,9
2251,5
2252,9
2253,8
2254,2
2255,1
2256,1
2257,7
2258,7
2259,0
2260,7
2261,7
2262,5
2263,4
2264,7
2265,4
2266,1
2267,8
2268,4
2269,3
2270,2
2271,2
2272,8
2273,7
2274,2
2275,3
2276,8
2277,7
2278,5
2279,4
2280,9
2281,1
2282,0
2283,0
2284,1
2285,9
2286,1
2287,3
2288,7
2289,3
2290,4
2291,8
2292,7
2293,9
2294,0
2295,0
2296,3
2297,5
2298,0
2299,4
2300,1
2301,3
2302,2
2303,8
2304,8
2305,6
2306,9
2307,8
2308,1
2309,3
2310,6
2311,8
2312,9
2313,6
2314,5
2315,2
2316,3
2317,5
2318,7
2319,9
2320,1
2321,7
2322,8
2323,9
2324,4
2325,3
2326,9
2327,9
2328,8
2329,2
2330,8
2331,9
2332,8
2333,0
2334,4
2335,3
2336,6
2337,6
2338,3
2339,1
2340,4
2341,4
2342,5
2343,6
2344,1
2345,6
2346,7
2347,2
2348,8
2349,5
2350,3
2351,8
2352,5
2353,5
2354,9
2355,2
2356,2
2357,6
2358,8
2359,1
2360,6
2361,9
2362,0
2363,0
2364,5
2365,9
2366,1
2367,4
2368,9
2369,6
2370,5
2371,0
2372,5
2373,3
2374,9
2375,5
2376,3
2377,2
2378,3
2379,4
2380,8
2381,6
2382,1
2383,0
2384,6
2385,1
2386,1
2387,9
2388,3
2389,4
2390,8
2391,5
2392,9
2393,2
2394,3
2395,1
2396,4
2397,3
2398,7
2399,6
2400,5
2401,8
2402,8
2403,9
2404,2
2405,0
2406,9
2407,6
2408,5
2409,1
2410,8
2411,8
2412,4
2413,3
2414,4
2415,2
2416,1
2417,6
2418,4
2419,0
2420,7
2421,0
2422,8
2423,8
2424,5
2425,3
2426,5
2427,6
2428,1
2429,9
2430,8
2431,3
2432,9
2433,6
2434,0
2435,7
2436,5
2437,2
2438,6
2439,2
2440,6
2441,5
2442,7
2443,6
2444,7
2445,7
2446,6
2447,8
2448,2
2449,9
2450,9
2451,0
2452,8
2453,5
2454,6
2455,6
2456,4
2457,6
2458,7
2459,3
2460,3
2461,2
2462,5
2463,2
2464,4
2465,2
2466,0
2467,2
2468,9
2469,4
2470,5
2471,1
2472,0
2473,4
2474,9
2475,8
2476,3
2477,3
2478,6
2479,5
2480,4
2481,1
2482,2
2483,8
2484,0
2485,9
2486,5
2487,8
2488,7
2489,2
2490,1
2491,5
2492,1
2493,4
2494,1
2495,0
2496,2
2497,1
2498,4
2499,1
2500,7
2501,1
2502,0
2503,8
2504,0
2505,6
2506,8
2507,2
2508,7
2509,2
2510,8
2511,9
2512,2
2513,0
2514,3
2515,3
2516,4
2517,1
2518,8
2519,6
2520,6
2521,3
2522,9
2523,0
2524,9
2525,6
2526,2
2527,9
2528,8
2529,9
2530,2
2531,0
2532,7
2533,8
2534,0
2535,9
2536,8
2537,0
2538,8
2539,7
2540,9
2541,9
2542,4
2543,5
2544,5
2545,6
2546,3
2547,3
2548,4
2549,8
2550,8
2551,7
2552,1
2553,1
2554,6
2555,5
2556,8
2557,5
2558,0
2559,5
2560,5
2561,6
2562,4
2563,2
2564,2
2565,7
2566,0
2567,1
2568,7
2569,5
2570,2
2571,6
2572,5
2573,2
2574,3
2575,8
2576,5
2577,9
2578,3
2579,9
2580,3
2581,1
2582,2
2583,8
2584,5
2585,6
2586,9
2587,0
2588,6
2589,5
2590,1
2591,6
2592,7
2593,9
2594,9
2595,3
2596,7
2597,7
2598,6
2599,5
2600,8
2601,6
2602,4
2603,2
2604,2
2605,6
2606,7
2607,4
2608,1
2609,0
2610,8
2611,0
2612,4
2613,2
2614,5
2615,3
2616,7
2617,3
2618,6
2619,0
2620,9
2621,6
2622,8
2623,8
2624,7
2625,7
2626,4
2627,2
2628,8
2629,1
2630,1
2631,3
2632,3
2633,7
2634,3
2635,7
2636,0
2637,4
2638,3
2639,9
2640,3
2641,8
2642,7
2643,7
2644,4
2645,1
2646,8
2647,8
2648,8
2649,1
2650,7
2651,0
2652,6
2653,4
2654,4
2655,8
2656,8
2657,8
2658,0
2659,8
2660,9
2661,0
2662,3
2663,4
2664,4
2665,4
2666,1
2667,9
2668,6
2669,3
2670,5
2671,6
2672,9
2673,6
2674,2
2675,5
2676,3
2677,8
2678,6
2679,2
2680,8
2681,2
2682,3
2683,1
2684,6
2685,4
2686,6
2687,4
2688,9
2689,9
2690,5
2691,9
2692,2
2693,2
2694,1
2695,5
2696,6
2697,7
2698,6
2699,7
2700,2
2701,6
2702,5
2703,3
2704,6
2705,2
2706,2
2707,7
2708,5
2709,3
2710,2
2711,2
2712,3
2713,4
2714,8
2715,9
2716,3
2717,6
2718,7
2719,2
2720,0
2721,1
2722,2
2723,3
2724,0
2725,0
2726,8
2727,9
2728,6
2729,1
2730,2
2731,4
2732,4
2733,2
2734,3
2735,1
2736,5
2737,9
2738,3
2739,5
2740,5
2741,7
2742,4
2743,9
2744,8
2745,0
2746,1
2747,4
2748,4
2749,5
2750,0
2751,4
2752,8
2753,8
2754,2
2755,3
2756,4
2757,9
2758,5
2759,1
2760,1
2761,0
2762,9
2763,3
2764,6
2765,5
2766,7
2767,3
2768,7
2769,9
2770,7
2771,2
2772,2
2773,4
2774,1
2775,9
2776,0
2777,3
2778,9
2779,2
2780,9
2781,6
2782,7
2783,3
2784,6
2785,8
2786,8
2787,6
2788,7
2789,6
2790,7
2791,7
2792,5
2793,9
2794,6
2795,3
2796,4
2797,4
2798,7
2799,2
2800,2
2801,9
2802,1
2803,0
2804,6
2805,4
2806,0
2807,1
2808,2
2809,2
2810,3
2811,6
2812,3
2813,7
2814,1
2815,4
2816,6
2817,4
2818,6
2819,6
2820,0
2821,3
2822,3
2823,5
2824,6
2825,3
2826,8
2827,2
2828,9
2829,1
2830,7
2831,4
2832,4
2833,9
2834,7
2835,7
2836,1
2837,4
2838,6
2839,4
2840,8
2841,0
2842,4
2843,8
2844,7
2845,6
2846,8
2847,5
2848,9
2849,8
2850,9
2851,0
2852,1
2853,9
2854,3
2855,1
2856,5
2857,2
2858,1
2859,8
2860,5
2861,6
2862,5
2863,7
2864,9
2865,3
2866,1
2867,3
2868,4
2869,9
2870,4
2871,7
2872,8
2873,9
2874,6
2875,8
2876,2
2877,0
2878,0
2879,0
2880,3
2881,2
2882,9
2883,5
2884,6
2885,3
2886,2
2887,9
2888,1
2889,3
2890,3
2891,2
2892,9
2893,1
2894,9
2895,5
2896,2
2897,4
2898,1
2899,9
2900,1
2901,1
2902,7
2903,4
2904,9
2905,9
2906,0
2907,5
2908,6
2909,3
2910,2
2911,9
2912,0
2913,9
2914,1
2915,8
2916,1
2917,5
2918,1
2919,6
2920,3
2921,5
2922,2
2923,0
2924,0
2925,4
2926,4
2927,0
2928,9
2929,6
2930,5
2931,4
2932,2
2933,2
2934,0
2935,3
2936,8
2937,6
2938,8
2939,9
2940,7
2941,9
2942,7
2943,0
2944,2
2945,1
2946,4
2947,7
2948,2
2949,8
2950,5
2951,3
2952,9
2953,8
2954,2
2955,4
2956,3
2957,9
2958,2
2959,1
2960,8
2961,5
2962,7
2963,1
2964,6
2965,6
2966,1
2967,9
2968,2
2969,9
2970,9
2971,8
2972,9
2973,3
2974,5
2975,7
2976,8
2977,1
2978,0
2979,1
2980,0
2981,1
2982,2
2983,7
2984,0
2985,4
2986,3
2987,6
2988,4
2989,1
2990,3
2991,5
2992,0
2993,7
2994,2
2995,5
2996,3
2997,5
